Frecuency_Aportes;Frecuency_Rescates;Monetary_Aportes;Monetary_Rescates;Recency_Aportes;Recency_Rescates;Perfil_Movimientos;Perfil_Cliente;Sexo;Estado_Civil;Ingeniero;Region_Metropolitana;Porcentaje_Promedio;Edad;Antiguedad;Accionario;Corto;Rentsem;Rentmen;EEUU;Nacional;FugaBajaS;FugaBajaM;RescateBajaSem;RescateBajaMes;FugaCategorica;FugaNumerica;CLV;
0,209302326;0,114583333;0,646565641;0,670978839;0;0,604175551;0,495454545;0,5;0;0;0;1;0,161121375;0,101015413;0,346534653;0,127272727;0,054545455;0,433060877;0,549106456;0;0,490909091;0,090909091;0,090909091;0,090909091;0,090909091;F;1;9276,704169;12,66024263
0;0,166666667;0;0,795015064;1;0,391628141;0,511363636;0,25;1;0;1;1;0,012275734;0,117925482;0,347006129;0,272727273;0,090909091;0,388606748;0,535273753;0;0,409090909;0;0;0,1875;0,125;N;0;547588,3201;747,3129324
0;0;0;0;1;1;1;0,25;0;1;1;0;0;0,274485214;0,343234323;1;0;0,586053398;0,340480191;0;0;0;0;0;0;F;1;16259,51584;22,18992995
0,639534884;0,052083333;0,69597671;0,845774068;0,685404643;0,437692331;0,653125;0,5;0;1;0;1;0,204281404;0,682592338;0,345591702;0,4;0;0,39111451;0,577928383;0;0,1875;0;0,4;0;0,4;N;0;1941,325218;2,649394424
0,058139535;0,020833333;0,647965511;0,610772719;0,411303306;0,988296211;0,444444444;0,75;0;0;0;0;0,319470049;0,143209677;0,534653465;0,444444444;0,555555556;0,143809318;0,462029442;0,444444444;0,555555556;0,5;0,5;1;1;F;1;7203,25006;9,830527292
0,255813953;0,208333333;0,778403306;0,781509594;0,495004679;0,771578296;0,490384615;0,5;0;0;0;1;0,120433737;0,596100166;0,992927864;0,365384615;0,288461538;0,389766396;0,557031793;0,115384615;0,519230769;0,05;0,05;0,2;0,35;N;0;16885,85272;23,04471379
0,081395349;0,03125;0,680637141;0,72471561;0,846351445;0,697480189;0,5;0,25;1;0;1;0;0,201279432;0,162142481;0,344177275;0;0;0,407755717;0,546356696;0;0;0;0;0,333333333;0;F;1;2032,43948;2,773741244
0;0,010416667;0;0,838534958;1;0,960730927;0,40625;0,5;0;1;0;1;0,45009565;0,320037218;0,346063178;0,25;0,375;0,385313604;0,552839926;0;0,5;0;0;0;0;N;0;1437,259903;1,961478858
0;0;0;0;1;1;0,65;0,5;0;1;0;1;0;0,398033901;0,343705799;0,4;0;0,39111451;0,577928383;0;0,2;0;0;0;0;N;0;4064,878961;5,547482488
0;0;0;0;1;1;0,75;0,75;0;0;1;1;0;0,131518265;0,343705799;0;0;0,220116474;0,329204897;0;0;0;0;0;0;N;0;406,4878961;0,554748249
0,069767442;0,010416667;0,628425567;0,669611999;0,64726943;0,881887025;0,607142857;0,5;0;1;0;0;0,097582384;0,239694162;0,343705799;0,428571429;0,071428571;0,340144624;0,529553221;0,142857143;0,357142857;0;0;0;0;N;0;8042,078482;10,97530578
0;0,010416667;0;0,754317151;1;0,69981279;0,40625;0,25;1;0;0;0;0,420916108;0,125450059;0,343705799;0,25;0,375;0,385826329;0,553833761;0;0,5;0;0;0;0;N;0;880,046295;1,201029959
0;0,010416667;0;0,705717487;1;0,990577262;0,8;0,5;0;0;1;1;0,373525519;0,34366277;0,344648751;0,6;0;0,260056741;0,527713963;0,4;0,1;1;1;1;1;N;0;996,647348;1,360159494
0;0;0;0;1;1;1;0,5;0;0;1;1;0;0,332659088;0,45261669;1;0;0,22573219;0,63791677;0,5;0;0;0;0;0;N;0;1117,841714;1,525557684
0;0;0;0;1;1;1;1;1;0;0;0;0;0,162789757;0,344177275;1;0;0,040844113;0,476763385;1;0;0;0;0;0;F;1;10162,1974;13,86870622
0,593023256;0,072916667;0,597721563;0,621506668;0,268214865;0,990009358;0,585294118;0,5;0;0;0;1;0,137713389;0,379262915;0,343234323;0,282352941;0,247058824;0,353096538;0,462273751;0,141176471;0,388235294;0,142857143;0,142857143;0,857142857;0,857142857;N;0;30200,16051;41,21521531
0;0,104166667;0;0,776973326;1;0,401700041;0,65;0,5;0;0;1;1;0,133024318;0,114972289;0,342762848;0,4;0;0,385527683;0,605467224;0;0,2;0;0;0,2;0;N;0;2787,063935;3,80360363
0;0,0625;0;0,830767679;1;0,544788482;1;0,25;0;1;0;0;0,070314521;0,569116874;0,344177275;1;0;0,040844113;0,476763385;1;0;0;0;0,166666667;0;N;0;99589,53454;135,913321
0;0;0;0;1;1;1;0,75;0;0;1;1;0;0,145636959;0,42621405;1;0;0,318267757;0,425277847;0,333333333;0;0;0;0;0;N;0;40648,78961;55,47482488
0;0,020833333;0;0,955968225;1;0,894006211;0,666666667;0,5;0;1;0;1;0,168088721;0,96634168;0,343234323;0,444444444;0;0,348153971;0,579705029;0,111111111;0,222222222;0;0;0;0,5;N;0;388882,4175;530,7214364
0;0;0;0;1;1;0;0,5;0;1;1;1;0;0,925927424;0,356907119;0;1;0,359385427;0,433360649;0;1;0;0;0;0;N;0;10162,1974;13,86870622
1;0,604166667;0,652130384;0,672807237;0,44578878;0,411303306;0,41;0,5;0;0;1;0;0,006283807;0,178567094;0,342762848;0,108571429;0,154285714;0,395272754;0,534926795;0,011428571;0,685714286;0;0;0,293103448;0,327586207;N;0;132080,8844;180,2554025
0;0;0;0;1;1;0,666666667;0,5;0;0;1;0;0;0,196812169;0,340876945;0,666666667;0,333333333;0,199699696;0,454211395;0,666666667;0,333333333;0;0;0;0;N;0;800,7811552;1,09285405
0;0,03125;0;0,717088446;1;0,830965365;0,833333333;0,25;0;0;0;0;0,255951034;0,008980946;0,349363508;0,333333333;0;0,351306234;0,508205345;0;0;0;0;0,333333333;0,666666667;N;0;810,8010819;1,106528594
0;0;0;0;1;1;0;0,25;0;1;1;1;0;0,626077107;0,340405469;0;1;0,359385427;0,433360649;0;1;0;0;0;0;N;0;20324,3948;27,73741244
